               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.035596,            0.011699,            0.013083,             0.85865,             0.87484,             0.90275,             0.46422,            0.026793,           0.0063134,           0.0068887,            0.006535,            0.006535,            0.006535
                  37,            0.035573,            0.011744,            0.012887,             0.87006,             0.84435,             0.89084,             0.45905,            0.027049,           0.0062696,           0.0071872,            0.006436,            0.006436,            0.006436
                  38,            0.035345,            0.011755,            0.012434,             0.82928,             0.84816,              0.8809,              0.4498,            0.027545,           0.0063829,           0.0070274,            0.006337,            0.006337,            0.006337
                  39,            0.034851,            0.011967,            0.012043,             0.85484,             0.87208,             0.89716,             0.47625,            0.026455,            0.006216,           0.0072838,            0.006238,            0.006238,            0.006238
                  40,            0.034366,             0.01173,            0.011958,             0.89218,             0.87111,             0.92441,             0.48455,             0.02677,           0.0062791,           0.0063444,            0.006139,            0.006139,            0.006139
                  41,            0.034348,            0.011719,            0.011858,              0.8697,             0.88818,             0.91387,             0.48738,            0.026715,           0.0062059,           0.0068023,             0.00604,             0.00604,             0.00604
                  42,             0.03449,            0.011424,            0.012375,             0.85104,             0.86056,             0.90076,             0.46739,            0.026917,           0.0062145,           0.0066827,            0.005941,            0.005941,            0.005941
                  43,            0.034472,            0.011612,             0.01154,             0.87369,             0.87784,             0.91736,             0.48711,            0.026458,           0.0062251,           0.0066057,            0.005842,            0.005842,            0.005842
                  44,            0.034446,            0.011743,            0.011685,             0.86411,             0.88827,             0.92126,             0.49149,            0.026077,           0.0061455,           0.0067928,            0.005743,            0.005743,            0.005743
                  45,            0.034591,            0.011517,            0.011199,             0.86355,             0.89163,             0.91559,             0.47876,            0.026818,           0.0062067,           0.0067346,            0.005644,            0.005644,            0.005644
                  46,             0.03408,            0.011763,            0.011431,             0.85014,             0.87621,             0.91316,             0.48774,            0.026223,           0.0062614,           0.0069523,            0.005545,            0.005545,            0.005545
                  47,            0.034185,            0.011844,            0.010733,             0.86311,             0.86727,             0.89366,             0.47515,            0.026265,            0.006265,           0.0067327,            0.005446,            0.005446,            0.005446
                  48,              0.0335,            0.011513,            0.010463,             0.87688,             0.87536,             0.90727,              0.4935,            0.026109,           0.0062379,           0.0060868,            0.005347,            0.005347,            0.005347
                  49,            0.033579,            0.011372,            0.011231,             0.84604,             0.90354,             0.91807,             0.49434,             0.02591,           0.0062699,           0.0067678,            0.005248,            0.005248,            0.005248
                  50,             0.03396,            0.011494,            0.010987,             0.87692,             0.85619,             0.91519,              0.4931,            0.026244,           0.0061144,           0.0064679,            0.005149,            0.005149,            0.005149
                  51,            0.033751,            0.011443,            0.011024,             0.86461,             0.87891,             0.91241,             0.48479,            0.026496,           0.0062956,           0.0063017,             0.00505,             0.00505,             0.00505
                  52,            0.033575,            0.011622,            0.010609,             0.88015,             0.88262,             0.91678,             0.49308,            0.026164,           0.0062052,           0.0063263,            0.004951,            0.004951,            0.004951
                  53,            0.032989,            0.011526,            0.010918,             0.85534,             0.87755,             0.90983,             0.48446,             0.02586,             0.00613,           0.0070302,            0.004852,            0.004852,            0.004852
                  54,            0.033092,             0.01132,            0.010429,             0.87973,               0.869,             0.92017,             0.49923,            0.025908,           0.0061748,           0.0065439,            0.004753,            0.004753,            0.004753
                  55,            0.033043,            0.011059,            0.010528,             0.84699,             0.88025,             0.91606,              0.4954,            0.025879,           0.0061327,           0.0065241,            0.004654,            0.004654,            0.004654
                  56,            0.032397,            0.011581,           0.0097232,             0.87343,             0.87116,             0.91401,             0.49806,            0.025624,           0.0060951,           0.0058804,            0.004555,            0.004555,            0.004555
